Title,IMDb ID
Dumbo,tt3861390
"I, Robot",tt0343818
Basic Instinct,tt0103772
Murder on the Orient Express,tt3402236
X-Men: First Class,tt1270798
The Angry Birds Movie,tt1985949
GoldenEye,tt0113189
Catch Me If You Can,tt0264464
Now You See Me,tt1670345
Hannibal,tt0212985
The Mask,tt0110475
Peter Rabbit,tt5117670
It Ends with Us,tt10655524
Alien: Romulus,tt18412256
Speed,tt0111257
Dinosaur,tt0130623
Deep Impact,tt0120647
The Lorax,tt1482459
The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296
The Maze Runner,tt1790864
The Smurfs 2,tt2017020
National Treasure,tt0368891
Trolls,tt1679335
Rush Hour 2,tt0266915
How the Grinch Stole Christmas,tt0170016
xXx: Return of Xander Cage,tt1293847
Pocahontas,tt0114148
Star Trek Beyond,tt2660888
Alvin and the Chipmunks: Chipwrecked,tt1615918
Wanted,tt0493464
The Flintstones,tt0109813
A Quiet Place,tt6644200
Enchanted,tt0461770
Over the Hedge,tt0327084
300: Rise of an Empire,tt1253863
Batman Forever,tt0112462
Prince of Persia: The Sands of Time,tt0473075
The Curious Case of Benjamin Button,tt0421715
Journey 2: The Mysterious Island,tt1397514
The Rock,tt0117500
The Great Wall,tt2034800
Now You See Me 2,tt3110958
Never Say Die,tt7431894
Fantastic Four,tt0120667
Indiana Jones and the Temple of Doom,tt0087469
Tomorrow Never Dies,tt0120347
Back to the Future Part II,tt0096874
The Good Dinosaur,tt1979388
Little Women,tt3281548
Free Guy,tt6264654
22 Jump Street,tt2294449
The Wild Robot,tt29623480
Meet the Parents,tt0212338
Who Framed Roger Rabbit,tt0096438
Black Swan,tt0947798
Seven,tt0114369
The Perfect Storm,tt0177971
John Wick: Chapter 3 - Parabellum,tt6146586
Crocodile Dundee,tt0090555
Crazy Alien,tt6660238
The Devil Wears Prada,tt0458352
Taken 3,tt2446042
Paddington,tt1109624
The Hunchback of Notre Dame,tt0116583
A Christmas Carol,tt1067106
The SpongeBob Movie: Sponge Out of Water,tt2279373
Bridesmaids,tt1478338
The Conjuring 2,tt3065204
Schindler's List,tt0108052
Megamind,tt1001526
Green Book,tt6966692
Lethal Weapon 3,tt0104714
Robin Hood,tt0955308
Inglourious Basterds,tt0361748
101 Dalmatians,tt0115433
The Conjuring,tt1457767
Fatal Attraction,tt0093010
Sonic the Hedgehog,tt3794354
The Last Airbender,tt0938283
The Polar Express,tt0338348
The Proposal,tt1041829
A Beautiful Mind,tt0268978
Beverly Hills Cop,tt0086960
Air Force One,tt0118571
Wonder,tt2543472
The Expendables 2,tt1764651
Chicken Little,tt0371606
As Good as It Gets,tt0119822
Austin Powers: The Spy Who Shagged Me,tt0145660
Knives Out,tt8946378
The Lego Batman Movie,tt4116284
Maze Runner: The Scorch Trials,tt4046784
Resident Evil: The Final Chapter,tt2592614
Ocean's Thirteen,tt0496806
Little Fockers,tt0970866
Bolt,tt0397892
Ransom,tt0117438
Runaway Bride,tt0163187
The Blind Side,tt0878804
The Ex-File 3: Return of the Exes,tt7830888
The Fault in Our Stars,tt2582846
The Pursuit of Happyness,tt0454921
Rise of the Guardians,tt1446192
Article 20,tt28258332
Close Encounters of the Third Kind,tt0075860
Chicago,tt0299658
Annabelle: Creation,tt5140878
Skyscraper,tt5758778
A Good Day to Die Hard,tt1606378
Mulan,tt0120762
Dangal,tt5074352
Passengers,tt1355644
Battleship,tt1440129
Liar Liar,tt0119528
G.I. Joe: The Rise of Cobra,tt1046173
Wrath of the Titans,tt1646987
Never Say Never,tt20865116
Fantastic Four: Rise of the Silver Surfer,tt0486576
Hook,tt0102057
Captain America: Brave New World,tt14513804
Superman,tt0078346
Rocky IV,tt0089927
Rambo: First Blood Part II,tt0089880
Resident Evil: Afterlife,tt1220634
Migration,tt6495056
Van Helsing,tt0338526
Stuart Little,tt0164912
Beverly Hills Cop II,tt0092644
Alice Through the Looking Glass,tt2567026
My Best Friend's Wedding,tt0119738
Real Steel,tt0433035
Horton Hears a Who!,tt0451079
Ocean's Eight,tt5164214
A Quiet Place Part II,tt8332922
The Divergent Series: Insurgent,tt2908446
Look Who's Talking,tt0097778
Austin Powers in Goldmember,tt0295178
Ghostbusters,tt0087332
Miss Peregrine's Home for Peculiar Children,tt1935859
X-Men,tt0120903
Ferdinand,tt3411444
Shutter Island,tt1130884
Doctor Dolittle,tt0118998
Bee Movie,tt0389790
Salt,tt0944835
G-Force,tt0436339
The Bourne Supremacy,tt0372183
Five Nights at Freddy's,tt4589218
The Departed,tt0407887
What Lies Beneath,tt0161081
Pacific Rim: Uprising,tt2557478
Sex and the City 2,tt1261945
Paddington 2,tt4468740
Shakespeare in Love,tt0138097
Divergent,tt1840309
Coming to America,tt0094898
Elvis,tt3704428
Wedding Crashers,tt0396269
Maze Runner: The Death Cure,tt4500922
Casper,tt0112642
American Pie 2,tt0252866
Pitch Perfect 2,tt2848292
The Green Mile,tt0120689
Oblivion,tt1483013
Elysium,tt1535108
Suzume,tt16428256
Lethal Weapon 4,tt0122151
John Carter,tt0401729
Turbo,tt1860353
