Title,IMDb ID
 Ice Age,tt0268380
 Shrek 2,tt0298148
 Big Hero 6,tt2245084
 Cars,tt0317219
 The Imitation Game,tt2084970
 The Social Network,tt1285016
 Argo,tt1024648
 The Pursuit of Happyness,tt0454921
 American Sniper,tt2179136
 Dallas Buyers Club,tt0790636
 Captain Phillips,tt1535109
 The Grand Budapest Hotel,tt2278388
 Once Upon a Time in,tt7131622
 The Big Lebowski,tt0118715
 The Hangover,tt1119646
 Thor: Ragnarok,tt3501632
 Knives Out,tt8946378
 Guardians of the Galaxy Vol,tt3896198
 No Country for Old Men,tt0477348
 Taxi Driver,tt0075314
 A Clockwork Orange,tt0066921
 Slumdog Millionaire,tt1010048
 Harry Potter and the Sorcerer's Stone,tt0241527
 Harry Potter and the Chamber of Secrets,tt0295297
 Harry Potter and the Prisoner of Azkaban,tt0304141
 Harry Potter and the Goblet of Fire,tt0330373
 Home Alone,tt0099785
 Harry Potter and the Order of the Phoenix,tt0373889
 Harry Potter and the Deathly Hallows - Part 1,tt0926084
 Thor,tt0800369
 The Hobbit: An Unexpected Journey,tt0903624
 Star Wars: Episode I - The Phantom Menace,tt0120915
 Star Wars: Episode III - Revenge of the Sith,tt0121766
 Doctor Strange,tt1211837
 Black Hawk Down,tt0265086
 Bridge of Spies,tt3682448
 Kingdom of Heaven,tt0320661
 Zero Dark Thirty,tt1790885
 Public Enemies,tt1152836
 Apollo 13,tt0112384
 The Patriot,tt0187393
 Robin Hood,tt0955308
 Lincoln,tt0443272
 The Northman,tt11138512
 Changeling,tt0824747
 I Am Legend,tt0480249
 World War Z,tt0816711
 Zombieland,tt1156398
 It,tt1396484
 A Quiet Place,tt6644200
 Split,tt4972582
 The Conjuring,tt1457767
 28 Days Later,tt0289043
 The Cabin in the Woods,tt1259521
 The Menu,tt9764362
 Midsommar,tt8772262
 Cloverfield,tt1060277
 School of Rock,tt0332379
 Pitch Perfect,tt1981677
 8 Mile,tt0298203
 Dirty Dancing,tt0092890
 Rio,tt1436562
 Tarzan,tt0120855
 Elvis,tt3704428
 Happy Feet,tt0366548
 Rocketman,tt2066051
 Charlie and the Chocolate Factory,tt0367594
 Sweeney Todd: The Demon Barber of Fleet Street,tt0408236
 Les Misérables,tt1707386
