Movie Year,Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,is_english,actor_popularity,writer_popularity,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2011,136,241071802,6.6,32,45,576863,5,Spring,0,6,1,31,19,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,136,487576624,6.5,53,51,880286,5,Spring,0,5,1,27,5,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,89,264624300,6.3,59,49,165986,6,Summer,0,6,1,23,17,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,97,486295561,7.2,94,77,314409,6,Summer,0,5,1,4,5,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,152,318886962,7.7,80,65,893116,11,Fall,1,9,1,26,11,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,108,341268248,8.0,98,78,572524,3,Spring,0,5,1,11,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,108,334191110,6.4,50,53,449837,3,Spring,0,17,1,16,7,1,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,169,303030651,7.8,64,58,894192,12,Winter,1,8,1,12,18,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,152,534987076,9.0,94,84,2974670,7,Summer,0,12,1,24,15,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,147,376851080,5.6,29,38,216826,6,Summer,0,3,1,20,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1994,88,424979720,8.5,93,88,1181907,6,Summer,0,3,1,11,6,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,180,329862540,8.3,93,90,844329,7,Summer,0,12,1,22,8,4,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,146,296374621,7.7,77,65,623274,11,Fall,1,8,1,26,9,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,98,368065385,7.3,75,62,438373,7,Summer,0,4,1,26,17,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,94,361004205,6.2,56,52,56984,7,Summer,0,5,1,24,14,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,106,364001123,7.3,94,77,297031,4,Spring,0,6,1,11,2,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,119,404540171,7.0,77,58,470786,12,Winter,1,5,1,31,13,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,144,255138261,7.4,59,59,590388,12,Winter,1,8,1,7,18,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,169,309420425,7.1,43,50,710139,5,Spring,0,9,1,35,19,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,161,258387334,7.8,74,66,724311,12,Winter,1,8,1,7,18,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,126,411331607,6.9,74,60,502836,5,Spring,0,9,1,13,19,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,138,292382727,7.5,78,71,656852,7,Summer,0,8,1,26,6,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,100,380843261,8.2,99,90,1142262,5,Spring,0,7,1,3,9,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,153,302334374,7.6,83,78,616702,7,Summer,0,8,1,26,9,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
