Movie Runtime,Domestic Gross,IMDB Rating,RT Rating,Metacritic Rating,IMDB Vote Count,Release Month,Season,is_holiday_release,director_popularity,actor_popularity,writer_popularity,is_english,Language_Count,Country_Count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
138,292382727,7.5,78,71,656852,7,2,0,8,26,6,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,380843261,8.2,99,90,1142262,5,1,0,7,3,9,1,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,302334374,7.6,83,78,616702,7,2,0,8,26,9,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,370549695,6.5,69,56,95949,7,2,0,6,18,6,1,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,345518923,8.8,95,87,1849993,12,3,1,8,19,14,1,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,444854717,7.4,89,75,519980,5,1,0,9,29,7,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,216668042,7.9,60,49,613153,11,0,1,9,3,5,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
176,342411,5.5,36,53,4326,9,0,0,8,12,4,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,290469928,7.7,88,81,705976,11,0,1,5,26,9,1,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,337281992,6.3,63,59,660144,5,1,0,9,12,9,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,319372078,8.9,92,92,2082432,12,3,1,8,20,14,1,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,196573705,6.9,46,50,272484,7,2,0,7,18,5,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,262641637,7.4,82,63,719337,11,0,1,9,26,11,1,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,334952829,7.4,92,73,747042,7,2,0,3,18,10,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,200074609,6.8,63,60,477388,11,0,1,6,17,18,1,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
